ause,bvi_std_mean,calibrated_coverage_95,calibrated_coverage_error,calibrated_gaussian_crps,calibrated_gaussian_nll,calibrated_mpiw_95,calibrated_sample_quantile_coverage_95,calibration_scale,components,coverage_95,crps,data_misfit,ensemble_dispersion_scale,epsilon_mae,epsilon_rmse,event_auprc,event_auroc,event_brier,event_ece,event_prevalence,final_objective,gaussian_nll,global_index,mc_dropout_dispersion_scale,method,mixture_effective_components,mixture_max_weight,model_name,mpiw_95,neural_center,noise_std,normalized_rmse,physics_evaluations,posterior_mean_alpha,posterior_mean_line_search,posterior_mean_policy,posterior_mean_projection_max_error,posterior_mean_selected_label,posterior_precision_condition,posterior_precision_data_trace,posterior_sample_std_mean,posterior_std_prior_actual_mean,posterior_std_prior_requested_mean,posterior_std_prior_scale,sample_quantile_coverage_95,snr_db,split,stage_line_search_gains,stage_line_search_objectives,stage_new_weights,std_error_spearman,trust_std,view,wall_seconds
0.012173326491932814,,0.8946380615234375,0.055361938476562456,0.03834926924042776,-1.1719673591960242,0.3211394519323152,0.751190185546875,4.708565913660769,,0.3010101318359375,0.04390659711906949,0.19762112200260162,,0.40575971869709515,0.5344922376198414,0.9633724980403578,0.9849083283106388,0.0035717773437499998,0.00279541015625,0.0303192138671875,,14.0924457323733,981,,deep_ensemble,,,model_982.mat,0.06820324019439498,,,0.06681152970248018,1,,,,,,,,,,,,0.2061767578125,0.0,test,,,,0.37951547759971765,,mixed_0db,0.608253002166748
,,,,,,,,,0,,,0.2053346335887909,,0.3783106803894043,0.5169273614883423,,,,,,0.8772445917129517,,981,,residual_map,,,model_982.mat,,,,0.06461592018604279,7,,,,,,1.0,0.0,,,,,,0.0,test,,,,,0.03,mixed_0db,7.59626841545105
0.010255231793101676,,0.99444580078125,0.044445800781250044,0.039076506343328696,-1.2049663354750333,0.47685948410436413,0.9929656982421875,1.912344593926287,0,0.9654693603515625,0.03320220434808139,0.2028721570968628,,0.3717555069552225,0.5131696993028381,0.9293155614587529,0.9826478128385577,0.004956168122589588,0.011977791786193848,0.0303192138671875,0.8772480487823486,-1.467673751408225,981,,residual_laplace,,,model_982.mat,0.2493585547991357,,,0.06414621241285476,31,,,,,,2.0485349247167957,10.157982566609055,,,,,0.964630126953125,0.0,test,,,,0.47782331679027856,0.03,mixed_0db,21.20836567878723
0.01120239317343741,0.0836942046880722,0.9892425537109375,0.039242553710937544,0.03449676542847795,-1.5058305159246157,0.2718762322251884,0.819915771484375,0.8191470054346994,2,0.9975738525390625,0.0353935969002401,0.1892271786928177,1.8,0.4013606475967251,0.5343192109116209,0.9579008818819426,0.985095998781613,0.005108212120831013,0.020951151847839352,0.0303192138671875,0.9813927412033081,-1.441238819970268,981,7.5,neural_bvi,1.0,1.0,model_982.mat,0.3319016372170108,ensemble_calibrated,0.15801496803760529,0.06678990136395262,37,0.0,"[{""label"": ""reference_ensemble_mean"", ""alpha"": null, ""data_rmse"": 0.19762112200260162}, {""label"": ""center"", ""alpha"": 0.0, ""data_rmse"": 0.18922719359397888}, {""label"": ""bvi_alpha_0.025"", ""alpha"": 0.025, ""data_rmse"": 0.1892368197441101}, {""label"": ""bvi_alpha_0.05"", ""alpha"": 0.05, ""data_rmse"": 0.18926693499088287}, {""label"": ""bvi_alpha_0.1"", ""alpha"": 0.1, ""data_rmse"": 0.18936549127101898}, {""label"": ""bvi_alpha_0.2"", ""alpha"": 0.2, ""data_rmse"": 0.1895540952682495}]",physics_line_search,1.7881393432617188e-07,center,,,0.06850294768810272,0.08466878533363342,0.08466878533363342,0.75,0.899169921875,0.0,test,"[0.0, 0.0]","[0.9860624670982361, 0.9813927412033081]","[1.0, 0.0]",0.4254543894513673,0.03,mixed_0db,38.53668212890625
,,,,,,,,,,,,0.16302694380283356,,0.3753116726875305,0.5170735716819763,,,,,,,,981,,nn,,,model_982.mat,,,,0.06463419646024704,1,,,,,,,,,,,,,5.0,test,,,,,,mixed_5db,0.5144045352935791
0.013359596611769085,,0.8409271240234375,0.10907287597656246,0.03520134701418688,-0.7691927025815669,0.29731669940416117,0.8368377685546875,7.976083234617511,,0.1888580322265625,0.04216695447380946,0.16173018515110016,,0.37442162252644573,0.5161211850090344,0.919497546655229,0.9652923707952261,0.004507293701171876,0.00411224365234375,0.0303192138671875,,76.99832256096614,981,,mc_dropout,,,model_982.mat,0.03727602767095699,,,0.0645151481261293,1,,,,,,,,,,,,0.1665496826171875,5.0,test,,,,0.2668624784124841,,mixed_5db,0.8323721885681152
0.01214266772261347,,0.900787353515625,0.049212646484374956,0.03755292085280244,-1.19754943244748,0.3226413900187849,0.763824462890625,4.708565913660769,,0.3169708251953125,0.04255580739988716,0.15120470523834229,,0.3946592838733295,0.5266268543786687,0.9617099995713276,0.9832566658179424,0.0035162353515625004,0.0027862548828125003,0.0303192138671875,,13.525495015516698,981,,deep_ensemble,,,model_982.mat,0.06852222014368341,,,0.06582835679733359,1,,,,,,,,,,,,0.2069244384765625,5.0,test,,,,0.37832651868239986,,mixed_5db,0.5901715755462646
,,,,,,,,,0,,,0.15636864304542542,,0.37003016471862793,0.5221418142318726,,,,,,1.6731809377670288,,981,,residual_map,,,model_982.mat,,,,0.06526772677898407,7,,,,,,1.0,0.0,,,,,,5.0,test,,,,,0.03,mixed_5db,7.685385465621948
0.010112812522100785,,0.989227294921875,0.039227294921875044,0.03581595715570458,-1.31977372699978,0.39682189105128385,0.98779296875,1.912344593926287,0,0.9363250732421875,0.03237425870603057,0.1543203741312027,,0.36311868676387915,0.517190781066338,0.9135610924505955,0.9730320601985575,0.004846096038818359,0.00552058219909668,0.0303192138671875,1.676613688468933,-1.424435339516567,981,,residual_laplace,,,model_982.mat,0.20750543202266958,,,0.06464884763329225,31,,,,,,3.5978713852048165,36.17646384618859,,,,,0.9361572265625,5.0,test,,,,0.49638883754090846,0.03,mixed_5db,21.045235633850098
0.011457802503262254,0.08627942949533463,0.9827423095703125,0.032742309570312544,0.034161007576050825,-1.5000356815180527,0.27753936093781106,0.82794189453125,0.8191470054346994,2,0.9954986572265625,0.034772648658869865,0.13964083790779114,1.8,0.39045161393597816,0.5263519786954531,0.9567663920899218,0.98434016531458,0.005540588870644569,0.025072574615478516,0.0303192138671875,1.641521692276001,-1.4329871796362879,981,7.5,neural_bvi,1.0,1.0,model_982.mat,0.33881508336898375,ensemble_calibrated,0.08885835111141205,0.06579399733693164,37,0.0,"[{""label"": ""reference_ensemble_mean"", ""alpha"": null, ""data_rmse"": 0.15120470523834229}, {""label"": ""center"", ""alpha"": 0.0, ""data_rmse"": 0.13964112102985382}, {""label"": ""bvi_alpha_0.025"", ""alpha"": 0.025, ""data_rmse"": 0.13959954679012299}, {""label"": ""bvi_alpha_0.05"", ""alpha"": 0.05, ""data_rmse"": 0.13956357538700104}, {""label"": ""bvi_alpha_0.1"", ""alpha"": 0.1, ""data_rmse"": 0.13951554894447327}, {""label"": ""bvi_alpha_0.2"", ""alpha"": 0.2, ""data_rmse"": 0.13942191004753113}]",physics_line_search,1.7881393432617188e-07,center,,,0.0705302506685257,0.08643241971731186,0.08643241971731186,0.75,0.9049835205078125,5.0,test,"[0.0, 0.0]","[1.491324171423912, 1.641521692276001]","[1.0, 0.0]",0.4012236523793598,0.03,mixed_5db,38.1932590007782
